number,title,subtitle,pages,price
145,Care Plan Handoff Grid,who knows what, what changed, and what comes next,86,9.99
146,Caregiver Appointment Brief,questions, observations, and decisions,86,9.99
147,Family Care Cost Ledger,payments, reimbursements, and open costs,86,9.99
148,Hospital Discharge Questions,instructions to clarify before leaving,86,9.99
149,Specialist Referral Tracker,referrals, calls, records, and status,86,9.99
150,Health Insurance Call Log,representative, reference, promise, and follow-up,86,9.99
151,Work Accommodation Request Log,needs, conversations, and documentation,86,9.99
152,Return-to-Work Transition Planner,capacity, schedule, and check-in notes,86,9.99
153,Layoff Recovery Pipeline,applications, contacts, and runway,86,9.99
154,Small Business Cashflow Notebook,invoices, expenses, and decisions,86,9.99
155,Client Onboarding Fieldbook,scope, access, milestones, and owners,86,9.99
156,Project Risk Register,signal, impact, response, and review date,86,9.99
157,Tenant Repair Escalation Log,notice, evidence, response, and next step,86,9.99
158,Home Inventory Recovery Book,item, evidence, value, and claim status,86,9.99
159,Flood Cleanup Record,rooms, materials, vendors, and receipts,86,9.99
160,Power Outage Continuity Log,devices, food, contacts, and restoration,86,9.99
161,Accessible Event Planner,routes, seating, communication, and backups,86,9.99
162,Careful Travel Transit Log,transfer points, confirmations, and contingencies,86,9.99
163,Medication List Reconciliation,prescriber, pharmacy, dose as listed, question,86,9.99
164,Chronic Care Visit Summary,what was said, what changed, what to ask,86,9.99
165,Symptom Context Timeline,time, setting, impact, and observation,86,9.99
166,Sleep Routine Observation Book,environment, routine, and morning result,86,9.99
167,Food Response Context Log,meal context, timing, and personal observation,86,9.99
168,Pain Conversation Notebook,location, context, impact, and questions,86,9.99
169,Therapy Session Reflection Log,themes, examples, and next appointment,86,9.99
170,Support Network Check-In Book,who contacted, response, and next check-in,86,9.99
171,Grief Date Memory Journal,date, memory, support, and care,86,9.99
172,Sensory Load Field Notes,setting, input, adjustment, and recovery,86,9.99
173,Focus Environment Experiment,workspace, friction, strategy, result,86,9.99
174,Task Start Research Log,barrier, first action, time, and outcome,86,9.99
175,Household Decision Register,choice, criteria, owner, and revisit date,86,9.99
176,Digital Account Map,service, access route, renewal, and action,86,9.99
177,Document Renewal Tracker,document, expiry, request, and receipt,86,9.99
178,Personal Data Request Log,organization, request, date, and response,86,9.99
179,Volunteer Shift Handoff,attendance, supplies, incidents, and next lead,86,9.99
180,Community Project Ledger,needs, offers, owners, and milestones,86,9.99
