n,kdp_title,pages,trim,price,channel,interior_file,cover_file,series
01,GLP-1 Meal & Satiety Journal,131,6x9,9.99,Lulu print Global Distribution,01_GLP1_Meal_and_Satiety_Journal_6x9.pdf,01_GLP1_Meal_and_Satiety_COVER_WRAP.pdf,GLP-1 TRACKING SERIES
02,GLP-1 Side Effect Tracker,92,6x9,9.99,Lulu print Global Distribution,02_GLP1_Side_Effect_and_Symptom_Diary_6x9.pdf,02_GLP1_Side_Effect_Diary_COVER_WRAP.pdf,GLP-1 TRACKING SERIES
03,GLP-1 Plateau Breaker 30-Day Challenge Planner,107,6x9,9.99,Lulu print Global Distribution,03_GLP1_Plateau_Breaker_30_Day_Planner_6x9.pdf,03_GLP1_Plateau_Breaker_COVER_WRAP.pdf,GLP-1 TRACKING SERIES
04,GLP-1 Maintenance Phase Tracker,85,6x9,9.99,Lulu print Global Distribution,04_GLP1_Maintenance_Phase_Tracker_6x9.pdf,04_GLP1_Maintenance_COVER_WRAP.pdf,GLP-1 TRACKING SERIES
05,GLP-1 Hunger & Craving Mood Log,113,6x9,9.99,Lulu print Global Distribution,05_GLP1_Hunger_and_Craving_Mood_Log_6x9.pdf,05_GLP1_Hunger_Craving_COVER_WRAP.pdf,GLP-1 TRACKING SERIES
06,GLP-1 Fitness & Step Companion,85,6x9,9.99,Lulu print Global Distribution,06_GLP1_Fitness_and_Step_Companion_6x9.pdf,06_GLP1_Fitness_COVER_WRAP.pdf,GLP-1 TRACKING SERIES
07,GLP-1 Titration Log (Pocket 5x8),78,5x8,9.99,Lulu print Global Distribution,07_GLP1_Titration_Schedule_Notebook_5x8.pdf,07_GLP1_Titration_Pocket_COVER_WRAP.pdf,GLP-1 TRACKING SERIES
08,Non-Scale Victories Gratitude Journal,131,6x9,9.99,Lulu print Global Distribution,08_GLP1_Non_Scale_Victories_Gratitude_Journal_6x9.pdf,08_GLP1_NSV_Gratitude_COVER_WRAP.pdf,GLP-1 TRACKING SERIES
09,GLP-1 Injection Sticker Calendar,98,8.5x11,9.99,Lulu print Global Distribution,09_GLP1_Injection_Sticker_Calendar_85x11.pdf,09_GLP1_Injection_Calendar_COVER_WRAP.pdf,GLP-1 TRACKING SERIES
10,Sober Curious 90-Day Journal,113,6x9,9.99,Lulu print Global Distribution,10_Sobriety_and_Sober_Curious_Journal_90_Day_6x9.pdf,10_Sobriety_90_COVER_WRAP.pdf,WELLNESS TRACKING SERIES
11,Intermittent Fasting Window Tracker,107,6x9,9.99,Lulu print Global Distribution,11_Intermittent_Fasting_Window_Tracker_12_Week_6x9.pdf,11_IF_Window_Tracker_COVER_WRAP.pdf,WELLNESS TRACKING SERIES
12,Migraine Weather & Trigger Diary,97,6x9,9.99,Lulu print Global Distribution,12_Migraine_Weather_and_Trigger_Diary_6x9.pdf,12_Migraine_Weather_COVER_WRAP.pdf,WELLNESS TRACKING SERIES
13,ADHD Medication & Focus Log,113,6x9,9.99,Lulu print Global Distribution,13_ADHD_Medication_and_Focus_Log_6x9.pdf,13_ADHD_Focus_Log_COVER_WRAP.pdf,WELLNESS TRACKING SERIES
