book,folder,pages,trim,kdp_paperback,bn_print,kdp_hardcover,blurb,digital_pdf,notes
Architectural Visions: Cathedral and Cityscape Coloring Book for Adults,architect,140,8.5x11,$9.99,$14.99,$13.99,-,$6.99,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
The 5-Minute Dump: Micro-Journal for People Who Hate Journaling,dump,200,5.5x8.5,$9.99,$14.99,$15.99,-,$4.99,$4.99 large-pool attractor; no Blurb (trim not offered)
First Strokes: Easy Coloring Book for Adult Beginners,firststroke,100,8.5x11,$9.99,$14.99,$13.99,-,$6.99,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
Fractal Dreams: Advanced Mathematical Coloring Book,fractal,140,8.5x11,$9.99,$14.99,$13.99,-,$6.99,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
Easy Garden: Bold and Easy Flower Coloring Book for Adults,garden,100,8.5x11,$9.99,$14.99,$13.99,-,$6.99,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
Mosaic Mind: Geometric Coloring Book for Adults,mosaic,120,8.5x11,$9.99,$14.99,$13.99,-,$6.99,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
The Night Pages: An Insomnia Journal for 3 A.M.,night,120,5x8,$9.99,$14.99,-,$12.99,$6.99,no hardcover (5x8 not a KDP HC trim)
Parallel Lives: A Split-Page Therapy Journal,parallel,160,7x10,$9.99,$14.99,$14.99,-,$6.99,no Blurb (trim not offered)
Woodland Wonders: Forest Animals Coloring Book for Adults,woodland,120,8.5x11,$9.99,$14.99,$13.99,-,$6.99,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
Botanical Ink: Fine-Line Floral Coloring Book for Adults,botanical,104,8.5x11,$9.99,$14.99,$13.99,-,$6.99,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
Celestial Atlas: Constellation Coloring Book for Adults,celestial,104,8.5x11,$9.99,$14.99,$13.99,-,$6.99,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
Cozy Corners: Cozy Spaces Coloring Book for Adults,cozy,104,8.5x11,$9.99,$14.99,$13.99,-,$4.99,"$4.99 large-pool attractor; no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
The Dopamine Menu: An ADHD Journal for Ordering Your Stimulation,dopamine,150,6x9,$9.99,$14.99,$14.99,$13.99,$4.99,$4.99 large-pool attractor
The Middle Season: Perimenopause Symptom Tracker & Journal,middle,160,6x9,$9.99,$14.99,$14.99,$13.99,-,no digital (print-only flagship lane)
Settle: A Somatic Journal for a Wired Nervous System,settle,172,6x9,$9.99,$14.99,$14.99,$13.99,$4.99,$4.99 large-pool attractor
The Slow Page: A Slow Living Journal for Four Seasons,slow,144,6x9,$9.99,$14.99,$13.99,$12.99,$6.99,
The 75 Soft Journal,soft,96,6x9,$9.99,$14.99,$13.99,$11.99,$4.99,"$4.99 large-pool attractor; BN HOLD (<120pp) — kit on disk, do not upload"
Tidal Ink: Jellyfish and Deep-Sea Fine-Line Coloring Book for Adults,tidal,104,8.5x11,$9.99,$14.99,$13.99,-,$6.99,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
