candidate_id,working_title,screen_date,exact_phrase_query,screen_scope,disposition,notable_result_or_limit,required_follow_up
E01,The Reading Room Ledger,2026-08-31,"""The Reading Room Ledger""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,A Ledger-branded 'Reading Room' surfaced in a different category; no legal conclusion.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E02,Postcard to Later,2026-08-31,"""Postcard to Later""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E03,The Recipe Storybook,2026-08-31,"""The Recipe Storybook""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,No salient exact-title result observed; adjacent 'Story Cookbook' titles surfaced.,Select a vendor/physical product path; obtain final dielines and proof criteria before any manufacturing decision.
E04,The Little Museum at Home,2026-08-31,"""The Little Museum at Home""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Existing uses of 'The Little Museum' surfaced; product title remains a review item.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E05,Camera Roll to Keepsake,2026-08-31,"""Camera Roll to Keepsake""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E06,Notes Worth Keeping,2026-08-31,"""Notes Worth Keeping""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,An active Amazon notebook uses the exact title 'Notes Worth Keeping'.,"Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E07,One Shelf at a Time,2026-08-31,"""One Shelf at a Time""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,An organizing service uses the exact phrase 'One Shelf at a Time'.,"Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E08,The Tiny Kitchen Notebook,2026-08-31,"""The Tiny Kitchen Notebook""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,The published 'Tiny Kitchen Cookbook' is close in category and wording.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E09,The Apartment Garden Almanac,2026-08-31,"""The Apartment Garden Almanac""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,No salient exact-title result observed; garden/almanac marks remain for qualified review.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E10,The Home Rhythm Book,2026-08-31,"""The Home Rhythm Book""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,The published 'The Rhythm of Home' is close in category and wording.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E11,The Move With Me Book,2026-08-31,"""The Move With Me Book""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Published 'Move With Me' uses close wording; title remains a review item.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E12,Make Space for Guests,2026-08-31,"""Make Space for Guests""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
