n,stem,folder,title,subtitle,series,pages,trim,mechanic,daily,interior_file,cover_wrap,cover_front,listing,price,issues
73,73_Adenomyosis_Fibroid_Ledger,73_Adenomyosis_Fibroid_Ledger,Adenomyosis & Fibroid Ledger,"Bleed Intensity, Pelvic Pressure & Cycle-Window Map (Undated Records)",DEEP HEALTH SERIES,118,6x9,"Two waves on one page — bleed intensity and pelvic pressure — plus a cycle-window map that teaches you which days of your cycle are really happening. The record, not the myth.",wave,73_Adenomyosis_Fibroid_Ledger_interior.pdf,73_Adenomyosis_Fibroid_Ledger_COVER_WRAP.pdf,73_Adenomyosis_Fibroid_Ledger_COVER_FRONT.pdf,listing.txt,9.99,[]
74,74_Hashimoto_Thyroid_Energy_Map,74_Hashimoto_Thyroid_Energy_Map,Hashimoto's Thyroid Energy Map,"Morning Energy, Neck Feel, Fog & Mood Quadrant Map (Undated Records)",DEEP HEALTH SERIES,118,6x9,"Four quadrants a day (morning energy, neck feel, fog, mood) plus a monthly temperature-of-everything pattern — autoimmune symptoms move in clusters, and this book catches the cluster.",quad,74_Hashimoto_Thyroid_Energy_Map_interior.pdf,74_Hashimoto_Thyroid_Energy_Map_COVER_WRAP.pdf,74_Hashimoto_Thyroid_Energy_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
75,75_Insulin_Resistance_Wave,75_Insulin_Resistance_Wave,Insulin Resistance Wave,"Satiety Arc, Energy Dip & Next-Meal Hunger — One Wave Per Day (Undated)",DEEP HEALTH SERIES,118,6x9,"One satiety arc per day: how full you felt after eating, where energy dipped, and how hungry you were at the next meal — the three numbers that tell the insulin story without a lab.",wave,75_Insulin_Resistance_Wave_interior.pdf,75_Insulin_Resistance_Wave_COVER_WRAP.pdf,75_Insulin_Resistance_Wave_COVER_FRONT.pdf,listing.txt,9.99,[]
76,76_CKD_Clinic_Lab_Ledger,76_CKD_Clinic_Lab_Ledger,CKD Clinic & Lab Ledger,"Lab Copy Sheets, Symptom Grid & Appointment Brief (Records Only)",DEEP HEALTH SERIES,118,6x9,"Lab copy sheets you keep in one place, a daily symptom grid, and a one-page appointment brief — the binder that turns scattered results into a clinician-friendly story.",ledger,76_CKD_Clinic_Lab_Ledger_interior.pdf,76_CKD_Clinic_Lab_Ledger_COVER_WRAP.pdf,76_CKD_Clinic_Lab_Ledger_COVER_FRONT.pdf,listing.txt,9.99,[]
77,77_Dialysis_Session_Log,77_Dialysis_Session_Log,Dialysis Session Log,"Pre/Post Weight Ladder, Treatment-Day Feel & Transport Check (Undated)",DEEP HEALTH SERIES,83,6x9,"Two-page session spread: pre/post weight ladder, a treatment-day feel ring, and a transport check — so the routine is runnable and the questions are collected.",ladder,77_Dialysis_Session_Log_interior.pdf,77_Dialysis_Session_Log_COVER_WRAP.pdf,77_Dialysis_Session_Log_COVER_FRONT.pdf,listing.txt,9.99,[]
78,78_COPD_Breath_Scale,78_COPD_Breath_Scale,COPD Breath Scale,"Breathlessness Ladder, Inhaler Use As Directed & Air Tick (Undated)",DEEP HEALTH SERIES,118,6x9,Breathlessness ladder 0-10 with a 'was it a good day for air' tick — the scale that turns 'I was short' into a number and a pattern your pulmonologist can read.,hist,78_COPD_Breath_Scale_interior.pdf,78_COPD_Breath_Scale_COVER_WRAP.pdf,78_COPD_Breath_Scale_COVER_FRONT.pdf,listing.txt,9.99,[]
79,79_Asthma_Wind_Trigger_Log,79_Asthma_Wind_Trigger_Log,Asthma Wind & Trigger Log,"Breath-Wind Line, Trigger Constellation & Reliever As Directed (Undated)",DEEP HEALTH SERIES,118,6x9,"Breath-wind line (0-10) plus a trigger constellation — pollen, dust, exercise, cold, stress, smoke — with reliever use logged as directed. The constellation is what the inhaler doesn't tell you.",hist,79_Asthma_Wind_Trigger_Log_interior.pdf,79_Asthma_Wind_Trigger_Log_COVER_WRAP.pdf,79_Asthma_Wind_Trigger_Log_COVER_FRONT.pdf,listing.txt,9.99,[]
80,80_Restless_Legs_Sleep_Pressure,80_Restless_Legs_Sleep_Pressure,Restless Legs & Sleep Pressure,"Leg-Urge Ladder, Evening Activity Map & Sleep-Pressure Gauge (Undated)",DEEP HEALTH SERIES,83,6x9,"Two leg-urge ladders (morning and night) plus a sleep-pressure gauge and an evening-activity map — restless legs are about the evening, and this book watches the evening.",gauge2,80_Restless_Legs_Sleep_Pressure_interior.pdf,80_Restless_Legs_Sleep_Pressure_COVER_WRAP.pdf,80_Restless_Legs_Sleep_Pressure_COVER_FRONT.pdf,listing.txt,9.99,[]
81,81_Narcolepsy_Sleep_Pressure,81_Narcolepsy_Sleep_Pressure,Narcolepsy Sleep Pressure Blotter,"Sleep-Pressure Clock, Nap Blotter & Day-Sleep Map (Undated Records)",DEEP HEALTH SERIES,83,6x9,"A 24-hour sleep-pressure clock shaded by hour, plus a nap blotter and a day-sleep map — so 'I keep falling asleep' becomes a time of day, not a complaint.",blotter,81_Narcolepsy_Sleep_Pressure_interior.pdf,81_Narcolepsy_Sleep_Pressure_COVER_WRAP.pdf,81_Narcolepsy_Sleep_Pressure_COVER_FRONT.pdf,listing.txt,9.99,[]
82,82_Insomnia_Restedness_Map,82_Insomnia_Restedness_Map,Insomnia & Restedness Map,"Bedtime Hour Wheel, WASO Count & Restedness Gauge (Undated Records)",DEEP HEALTH SERIES,83,6x9,"A bedtime-hour wheel, a WASO (wake-after-sleep-onset) count, and a restedness gauge — the three numbers that separate 'I didn't sleep' from 'I slept but didn't rest'.",wheel,82_Insomnia_Restedness_Map_interior.pdf,82_Insomnia_Restedness_Map_COVER_WRAP.pdf,82_Insomnia_Restedness_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
