product,title,research_basis,distinct_fields
109,Caregiver Handoff Notebook,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
110,Family Medical Records Index,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
111,Dementia Visit Memory Book,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
112,Meal Train Coordination Ledger,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
113,Job Search Pipeline Board,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
114,Interview Story Bank,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
115,Remote Work Boundary Log,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
116,Meeting Decision Register,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
117,Freelancer Scope Ledger,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
118,Household Repair Evidence Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
119,Apartment Move-In Inspector,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
120,Storm Readiness Checklist Journal,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
121,Home Energy Observation Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
122,Pantry Rotation Planner,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
123,Food Allergy Restaurant Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
124,Migraine Context Journal,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
125,Long COVID Energy Budget,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
126,Sleep Environment Experiment Log,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
127,Menopause Appointment Brief,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
128,Pelvic Floor Care Log,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
129,Physical Therapy Home Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
130,Medication Reconciliation Notebook,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
131,Lab Result Copy Ledger,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
132,Hearing Appointment Tracker,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
133,Vision Change Observation Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
134,Dental Treatment Questions Book,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
135,Difficult Conversation Planner,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
136,Grief Memory Archive,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
137,Sensory-Friendly Day Planner,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
138,ADHD Task Friction Journal,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
139,Digital Declutter Fieldbook,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
140,Subscription Cost Audit,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
141,Volunteer Project Handoff,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
142,Personal Safety Check-In Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
143,Travel Accessibility Planner,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
144,Creative Practice Momentum Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
145,Care Plan Handoff Grid,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
146,Caregiver Appointment Brief,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
147,Family Care Cost Ledger,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
148,Hospital Discharge Questions,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
149,Specialist Referral Tracker,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
150,Health Insurance Call Log,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
151,Work Accommodation Request Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
152,Return-to-Work Transition Planner,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
153,Layoff Recovery Pipeline,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
154,Small Business Cashflow Notebook,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
155,Client Onboarding Fieldbook,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
156,Project Risk Register,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
157,Tenant Repair Escalation Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
158,Home Inventory Recovery Book,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
159,Flood Cleanup Record,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
160,Power Outage Continuity Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
161,Accessible Event Planner,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
162,Careful Travel Transit Log,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
163,Medication List Reconciliation,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
164,Chronic Care Visit Summary,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
165,Symptom Context Timeline,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
166,Sleep Routine Observation Book,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
167,Food Response Context Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
168,Pain Conversation Notebook,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
169,Therapy Session Reflection Log,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
