release_group,imprint,branch,product_id,title,price,format,status,notes
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-1,The 5-Minute Dump,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-2,Parallel Lives,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-3,The Night Pages,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-4,First Strokes,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-5,Easy Garden,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-6,Mosaic Mind,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-7,Woodland Wonders,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-8,Fractal Dreams,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-9,Architectural Visions,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-10,Settle,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-11,The Middle Season,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-12,The Dopamine Menu,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-13,The Slow Page,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-14,The 75 Soft Journal,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-15,Cozy Corners,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-16,Botanical Ink,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-17,Celestial Atlas,$9.99,paperback,Published,
Completed Catalog,Quiet Mind Press,ADHD-Journals,adhd-18,Tidal Ink,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-1,GLP-1 Meal & Satiety Journal,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-2,GLP-1 Side Effect Tracker,$9.99,paperback,Published,
