id,imprint,n,title,subtitle,pages,trim,paper,series,difficulty,kdp_price,kdp_kit_files,bn_status,bn_price,hc_status,hc_price,blurb_price,digital_price,digital_status,lulu_global,lulu_store,ingram,i18n,glp1,wave,ads,rank,release_dir,folder,notes
QM-01,Quiet Mind Press,1,The 5-Minute Dump: Micro-Journal for People Who Hate Journaling,"200 Pages of Rotating Five-Minute Prompts, Undated",200,5.5×8.5,cream,Quiet Mind Journals,,9.99,10,LIST,14.99,LIST,15.99,,4.99,LIST,11.99,,PARKED,6 langs,,W2+,False,42,release3/dump,,$4.99 large-pool attractor; no Blurb (trim not offered)
QM-02,Quiet Mind Press,2,Parallel Lives: A Split-Page Therapy Journal,160 Pages of Side-by-Side Prompts: What Happened and How It Felt,160,7×10,cream,Quiet Mind Journals,,9.99,10,LIST,14.99,LIST,14.99,,6.99,LIST,10.99,,PARKED,6 langs,,W2+,False,25,release3/parallel,,no Blurb (trim not offered)
QM-03,Quiet Mind Press,3,The Night Pages: An Insomnia Journal for 3 A.M.,A 5 by 8 Pocket Nightstand Journal for Racing Thoughts,120,5×8,cream,Quiet Mind Journals,,9.99,10,LIST,14.99,NONE,,12.99,6.99,LIST,9.99,,PARKED,6 langs,,W2+,False,32,release3/night,,no hardcover (5x8 not a KDP HC trim)
QM-04,Quiet Mind Press,4,First Strokes: Easy Coloring Book for Adult Beginners,37 Super Simple Designs with 3 to 5 Large Shapes per Page,100,8.5×11,white,Quiet Mind Color,Beginner,9.99,10,HOLD,14.99,HOLD,13.99,,6.99,LIST,9.99,,PARKED,6 langs,,W2+,False,13,release3/firststroke,,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-05,Quiet Mind Press,5,Easy Garden: Bold and Easy Flower Coloring Book for Adults,47 Big and Simple Designs with Thick Lines,100,8.5×11,white,Quiet Mind Color,Beginner,9.99,10,HOLD,14.99,HOLD,13.99,,6.99,LIST,9.99,,PARKED,6 langs,,W2+,False,8,release3/garden,,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-06,Quiet Mind Press,6,Mosaic Mind: Geometric Coloring Book for Adults,"57 Stained-Glass Mosaics, Tessellations and Islamic Stars",120,8.5×11,white,Quiet Mind Color,Intermediate,9.99,10,LIST,14.99,HOLD,13.99,,6.99,LIST,10.99,,PARKED,6 langs,,W2+,False,15,release3/mosaic,,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
QM-07,Quiet Mind Press,7,Woodland Wonders: Forest Animals Coloring Book for Adults,"57 Cottagecore Designs: Owls, Foxes, Mushrooms and Ferns",120,8.5×11,white,Quiet Mind Color,Intermediate,9.99,10,LIST,14.99,HOLD,13.99,,6.99,LIST,10.99,,PARKED,6 langs,,W2+,False,38,release3/woodland,,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
QM-08,Quiet Mind Press,8,Fractal Dreams: Advanced Mathematical Coloring Book,"67 Real Fractals: Sierpinski, Julia Sets and Golden Spirals",140,8.5×11,white,Quiet Mind Color,Advanced,9.99,10,LIST,14.99,HOLD,13.99,,6.99,LIST,11.99,,PARKED,6 langs,,W2+,False,24,release3/fractal,,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
QM-09,Quiet Mind Press,9,Architectural Visions: Cathedral and Cityscape Coloring Book for Adults,"67 Intricate Cathedrals, Cityscapes and Rose Windows",140,8.5×11,white,Quiet Mind Color,Advanced,9.99,10,LIST,14.99,HOLD,13.99,,6.99,LIST,11.99,,PARKED,6 langs,,W2+,False,22,release3/architect,,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
QM-10,Quiet Mind Press,10,Settle: A Somatic Journal for a Wired Nervous System,"Daily Body Tracking with No Protocol and No Streaks, Undated",172,6×9,cream,Quiet Mind Journals,,9.99,10,LIST,14.99,LIST,14.99,13.99,4.99,LIST,10.99,,PARKED,6 langs,,W2+,False,51,release4/settle,,$4.99 large-pool attractor
QM-11,Quiet Mind Press,11,The Middle Season: Perimenopause Symptom Tracker & Journal,"Hot Flashes, Sleep, Brain Fog and Clinic Notes, Undated",160,6×9,white,Quiet Mind Journals,,9.99,10,LIST,14.99,LIST,14.99,13.99,,PRINT_ONLY,10.99,,PARKED,none,,W1 ads,True,54,release4/middle,,no digital (print-only flagship lane)
QM-12,Quiet Mind Press,12,The Dopamine Menu: An ADHD Journal for Ordering Your Stimulation,"Five Courses and a Daily Order Ticket, 150 Pages",150,6×9,cream,Quiet Mind Journals,,9.99,10,LIST,14.99,LIST,14.99,13.99,4.99,LIST,9.99,,PARKED,6 langs,,W1 ads,True,53,release4/dopamine,,$4.99 large-pool attractor
QM-13,Quiet Mind Press,13,The Slow Page: A Slow Living Journal for Four Seasons,One Unhurried Page a Day for Four Seasons,144,6×9,cream,Quiet Mind Journals,,9.99,10,LIST,14.99,LIST,13.99,12.99,6.99,LIST,9.99,,PARKED,6 langs,,W2+,False,33,release4/slow,,
QM-14,Quiet Mind Press,14,The 75 Soft Journal,A Gentler 75-Day Challenge Tracker with a Day 76 Page,96,6×9,cream,Quiet Mind Journals,,9.99,10,HOLD,14.99,LIST,13.99,11.99,4.99,LIST,9.99,,PARKED,6 langs,,W1 ads,True,45,release4/soft,,"$4.99 large-pool attractor; BN HOLD (<120pp) — kit on disk, do not upload"
QM-15,Quiet Mind Press,15,Cozy Corners: Cozy Spaces Coloring Book for Adults,"49 Cozy Spaces: Reading Nooks, Rainy Windows and Hygge Rooms",104,8.5×11,white,Quiet Mind Color,Beginner–Easy,9.99,10,HOLD,14.99,HOLD,13.99,,4.99,LIST,9.99,,PARKED,6 langs,,W1 ads,True,44,release4/cozy,,"$4.99 large-pool attractor; no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-16,Quiet Mind Press,16,Botanical Ink: Fine-Line Floral Coloring Book for Adults,49 Herbarium Plates with Real Phyllotaxis Spirals,104,8.5×11,white,Quiet Mind Color,Fine line,9.99,10,HOLD,14.99,HOLD,13.99,,6.99,LIST,9.99,,PARKED,6 langs,,W2+,False,31,release4/botanical,,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-17,Quiet Mind Press,17,Celestial Atlas: Constellation Coloring Book for Adults,49 Constellation Plates from Real Star Positions,104,8.5×11,white,Quiet Mind Color,Fine line,9.99,10,HOLD,14.99,HOLD,13.99,,6.99,LIST,9.99,,PARKED,6 langs,,W2+,False,46,release4/celestial,,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-18,Quiet Mind Press,18,Tidal Ink: Jellyfish and Deep-Sea Fine-Line Coloring Book for Adults,49 Fine-Line Deep-Sea Plates from Real Logarithmic Spirals,104,8.5×11,white,Quiet Mind Color,Fine line,9.99,10,HOLD,14.99,HOLD,13.99,,6.99,LIST,9.99,,PARKED,6 langs,,W2+,False,37,release4/tidal,,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
RB-01,Range Band Press,1,GLP-1 Meal & Satiety Journal,"Undated 8-Week Protein, Fiber & Hunger Tracker (Two-Page Daily Spreads)",131,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W1,True,52,,01_GLP1_Meal_and_Satiety,
RB-02,Range Band Press,2,GLP-1 Side Effect Tracker,Weekly Symptom Log with Severity Grids & Clinic Visit Prep Pages,92,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,11,,02_GLP1_Side_Effect_Diary,
RB-03,Range Band Press,3,GLP-1 Plateau Breaker 30-Day Challenge Planner,"Daily Habit Grid, Mindset Prompts & Encore Cycle (Undated)",107,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W3,False,29,,03_GLP1_Plateau_Breaker,Empty QR box
RB-04,Range Band Press,4,GLP-1 Maintenance Phase Tracker,"12-Month Range Band, Refill Log & Relapse-Risk Journal",85,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W4,False,4,,04_GLP1_Maintenance,
RB-05,Range Band Press,5,GLP-1 Hunger & Craving Mood Log,"90-Day Four-Quadrant Tracker for Mood, Intensity & What I Did Instead",113,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W1,True,39,,05_GLP1_Hunger_Craving,
RB-06,Range Band Press,6,GLP-1 Fitness & Step Companion,"32-Week Strength, Cardio & Recovery Log (Undated)",85,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W3,False,5,,06_GLP1_Fitness,
RB-07,Range Band Press,7,GLP-1 Titration Log (Pocket 5x8),Weekly Dose-as-Prescribed Notebook with Pen & Refill Reminders,78,5×8,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,6,,07_GLP1_Titration_Pocket,; spine OFF (78pp<79)
RB-08,Range Band Press,8,Non-Scale Victories Gratitude Journal,"120-Day GLP-1 Progress Log for Energy, Clothing Fit & Labs",131,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,34,,08_GLP1_NSV_Gratitude,
RB-09,Range Band Press,9,GLP-1 Injection Sticker Calendar,Undated 12-Month 8.5 x 11 Log with Site Map & Refill Pages,98,8.5×11,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W1,True,43,,09_GLP1_Injection_Calendar,Empty QR box
RB-10,Range Band Press,10,Sober Curious 90-Day Journal,"Gender-Neutral Trigger, Craving & Gratitude Tracker (Not 12-Step)",113,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W1,True,35,,10_Sobriety_90,
RB-11,Range Band Press,11,Intermittent Fasting Window Tracker,12-Week 16:8 / Custom Fast Log with 24-Hour Timeline Bars,107,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W3,False,26,,11_IF_Window_Tracker,
