n,title,pages,trim,KDP,BN,LULU-GLOBAL,DIGITAL,INGRAM
01,The 5-Minute Dump: Micro-Journal for People Who Hate Journaling,200,5.5x8.5,9.99,14.99,11.99,4.99,9.99
02,Parallel Lives: A Split-Page Therapy Journal,160,7x10,9.99,14.99,10.99,6.99,9.99
03,The Night Pages: An Insomnia Journal for 3 A.M.,120,5x8,9.99,14.99,9.99,6.99,9.99
04,First Strokes: Easy Coloring Book for Adult Beginners,100,8.5x11,9.99,14.99,9.99,6.99,9.99
05,Easy Garden: Bold and Easy Flower Coloring Book for Adults,100,8.5x11,9.99,14.99,9.99,6.99,9.99
06,Mosaic Mind: Geometric Coloring Book for Adults,120,8.5x11,9.99,14.99,10.99,6.99,9.99
07,Woodland Wonders: Forest Animals Coloring Book for Adults,120,8.5x11,9.99,14.99,10.99,6.99,9.99
08,Fractal Dreams: Advanced Mathematical Coloring Book,140,8.5x11,9.99,14.99,11.99,6.99,9.99
09,Architectural Visions: Cathedral and Cityscape Coloring Book for Adults,140,8.5x11,9.99,14.99,11.99,6.99,9.99
10,Settle: A Somatic Journal for a Wired Nervous System,172,6x9,9.99,14.99,10.99,4.99,9.99
11,The Middle Season: Perimenopause Symptom Tracker & Journal,160,6x9,9.99,14.99,10.99,print only,9.99
12,The Dopamine Menu: An ADHD Journal for Ordering Your Stimulation,150,6x9,9.99,14.99,9.99,4.99,9.99
13,The Slow Page: A Slow Living Journal for Four Seasons,144,6x9,9.99,14.99,9.99,6.99,9.99
14,The 75 Soft Journal,96,6x9,9.99,14.99,9.99,4.99,9.99
15,Cozy Corners: Cozy Spaces Coloring Book for Adults,104,8.5x11,9.99,14.99,9.99,4.99,9.99
16,Botanical Ink: Fine-Line Floral Coloring Book for Adults,104,8.5x11,9.99,14.99,9.99,6.99,9.99
17,Celestial Atlas: Constellation Coloring Book for Adults,104,8.5x11,9.99,14.99,9.99,6.99,9.99
18,Tidal Ink: Jellyfish and Deep-Sea Fine-Line Coloring Book for Adults,104,8.5x11,9.99,14.99,9.99,6.99,9.99
