n,title,pages,trim,price,channel,pdf_from,series
01,The 5-Minute Dump: Micro-Journal for People Who Hate Journaling,200,5.5x8.5,14.99,BN Press,release3/dump/,Quiet Mind Journals
02,Parallel Lives: A Split-Page Therapy Journal,160,7x10,14.99,BN Press,release3/parallel/,Quiet Mind Journals
03,The Night Pages: An Insomnia Journal for 3 A.M.,120,5x8,14.99,BN Press,release3/night/,Quiet Mind Journals
04,First Strokes: Easy Coloring Book for Adult Beginners,100,8.5x11,14.99,BN Press,release3/firststroke/,Quiet Mind Color
05,Easy Garden: Bold and Easy Flower Coloring Book for Adults,100,8.5x11,14.99,BN Press,release3/garden/,Quiet Mind Color
06,Mosaic Mind: Geometric Coloring Book for Adults,120,8.5x11,14.99,BN Press,release3/mosaic/,Quiet Mind Color
07,Woodland Wonders: Forest Animals Coloring Book for Adults,120,8.5x11,14.99,BN Press,release3/woodland/,Quiet Mind Color
08,Fractal Dreams: Advanced Mathematical Coloring Book,140,8.5x11,14.99,BN Press,release3/fractal/,Quiet Mind Color
09,Architectural Visions: Cathedral and Cityscape Coloring Book for Adults,140,8.5x11,14.99,BN Press,release3/architect/,Quiet Mind Color
10,Settle: A Somatic Journal for a Wired Nervous System,172,6x9,14.99,BN Press,release4/settle/,Quiet Mind Journals
11,The Middle Season: Perimenopause Symptom Tracker & Journal,160,6x9,14.99,BN Press,release4/middle/,Quiet Mind Journals
12,The Dopamine Menu: An ADHD Journal for Ordering Your Stimulation,150,6x9,14.99,BN Press,release4/dopamine/,Quiet Mind Journals
13,The Slow Page: A Slow Living Journal for Four Seasons,144,6x9,14.99,BN Press,release4/slow/,Quiet Mind Journals
14,The 75 Soft Journal,96,6x9,14.99,BN Press,release4/soft/,Quiet Mind Journals
15,Cozy Corners: Cozy Spaces Coloring Book for Adults,104,8.5x11,14.99,BN Press,release4/cozy/,Quiet Mind Color
16,Botanical Ink: Fine-Line Floral Coloring Book for Adults,104,8.5x11,14.99,BN Press,release4/botanical/,Quiet Mind Color
17,Celestial Atlas: Constellation Coloring Book for Adults,104,8.5x11,14.99,BN Press,release4/celestial/,Quiet Mind Color
18,Tidal Ink: Jellyfish and Deep-Sea Fine-Line Coloring Book for Adults,104,8.5x11,14.99,BN Press,release4/tidal/,Quiet Mind Color
