candidate_id,working_title,prototype_route,title_web_screen_date,title_web_screen_status,title_web_screen_note,local_prototype_integrity,local_asset_provenance,title_and_rights_clearance,route_technical_validation,accessibility_review,proof_or_usability_review,price_channel_decision,named_human_release_approval,overall_release_status,immediate_next_action
E01,The Reading Room Ledger,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,A Ledger-branded 'Reading Room' surfaced in a different category; no legal conclusion.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E02,Postcard to Later,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E03,The Recipe Storybook,DIRECT-FIRST,2026-08-31,COUNSEL REVIEW REQUIRED,No salient exact-title result observed; adjacent 'Story Cookbook' titles surfaced.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Select a vendor/physical product path; obtain final dielines and proof criteria before any manufacturing decision.
E04,The Little Museum at Home,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Existing uses of 'The Little Museum' surfaced; product title remains a review item.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E05,Camera Roll to Keepsake,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E06,Notes Worth Keeping,PAPERBACK PROTOTYPE,2026-08-31,RETITLE BEFORE RELEASE,An active Amazon notebook uses the exact title 'Notes Worth Keeping'.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E07,One Shelf at a Time,PAPERBACK PROTOTYPE,2026-08-31,RETITLE BEFORE RELEASE,An organizing service uses the exact phrase 'One Shelf at a Time'.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E08,The Tiny Kitchen Notebook,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,The published 'Tiny Kitchen Cookbook' is close in category and wording.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E09,The Apartment Garden Almanac,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,No salient exact-title result observed; garden/almanac marks remain for qualified review.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E10,The Home Rhythm Book,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,The published 'The Rhythm of Home' is close in category and wording.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
