candidate_id,working_title,primary_niche,core_job,route_recommendation,route_asset,prototype_trim_inches,prototype_page_count,status,author,author_status,claims_boundary,first_test
E01,The Reading Room Ledger,analog reading and collecting,Capture ideas and connections from books without becoming a generic reading log,Paperback candidate plus optional direct printable reading-card insert,paperback_cover_wrap.pdf,7.0x9.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No educational achievement or therapeutic outcome claims,Test three sample spreads and a reading-club edition concept
E02,Postcard to Later,travel memory keeping,Turn a trip into a usable memory artifact rather than an itinerary,Paperback candidate plus premium travel folio later,paperback_cover_wrap.pdf,5.0x8.0,80,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No travel safety or legal advice,Test a weekend-trip printable sample with two destination-neutral routes
E03,The Recipe Storybook,family food memory,Capture family recipes and context in one heirloom-format book,Direct physical heirloom object first; paperback only as a distinct edition,front_cover_concept.pdf,8.0x10.0,112,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No nutrition food-safety or dietary claims,Test a 12-page keepsake sample with gift buyers
E04,The Little Museum at Home,home collecting and decor,Document a personal collection and plan a small display,Paperback candidate plus premium slipcase/label kit later,paperback_cover_wrap.pdf,8.0x8.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No valuation appraisal or authenticity advice,Test collector-category variants without reusing the same interior
E05,Camera Roll to Keepsake,photo memory keeping,Select and narrate meaningful photographs before they disappear in a phone archive,Paperback candidate plus direct printable photo-layout pack,paperback_cover_wrap.pdf,8.0x10.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No cloud backup privacy or data-recovery claims,Test a 30-day photo-story email-free printable sample
E06,Notes Worth Keeping,letter writing and gifting,Make letter writing a recurring practical ritual,Paperback candidate plus stationery-kit object later,paperback_cover_wrap.pdf,6.0x8.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No relationship counseling or emotional-outcome claims,Test a small card-and-note insert set
E07,One Shelf at a Time,small-space home organization,Plan a focused reset without an all-house overhaul,Paperback candidate plus direct printable room-reset pack,paperback_cover_wrap.pdf,8.0x10.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No health hygiene or professional-organizing guarantees,Test kitchen closet and entryway mini-editions
E08,The Tiny Kitchen Notebook,small-kitchen living,Plan home cooking routines around a compact space,Paperback candidate plus magnetic/fridge pad later,paperback_cover_wrap.pdf,7.0x9.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No nutrition food-safety or dietary advice,Test compact-kitchen audience demand and usability
E09,The Apartment Garden Almanac,small-space gardening,Record experiments and plan attainable growing spaces,Paperback candidate plus direct printable seasonal inserts,paperback_cover_wrap.pdf,8.0x10.0,104,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No pesticide horticultural or food-safety advice,Test balcony windowsill and renter-friendly sample routes
E10,The Home Rhythm Book,household routines,Coordinate ordinary maintenance and seasonal rituals without household perfectionism,Paperback candidate plus tear-pad calendar later,paperback_cover_wrap.pdf,8.0x10.0,104,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No repair safety legal landlord or contractor advice,Test seasonal one-month printable pages
E11,The Move With Me Book,moving and housewarming,Organize a move and capture first-home memories,Paperback candidate plus direct moving-folder inserts,paperback_cover_wrap.pdf,8.0x10.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No legal leasing real-estate or moving-safety advice,Test first-apartment and new-home buyer versions as separate content
E12,Make Space for Guests,casual hosting,Plan warm gatherings at a scale that suits the host,Paperback candidate plus direct tabletop planning pad later,paperback_cover_wrap.pdf,7.0x9.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No food-safety alcohol or event-safety advice,Test brunch picnic and overnight-guest sample pages
E13,Mend and Make,repair and visible mending,Track repair projects supplies and lessons without providing technical instruction,Paperback candidate plus field-card tool-kit later,paperback_cover_wrap.pdf,7.0x9.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No tool safety structural electrical or textile-preservation advice,Test visible-mending and household-repair audiences separately
E14,The Pressed Things Fieldbook,flower pressing and nature craft,Document and display pressed natural materials,Direct physical kit first; paperback only with original activity content,front_cover_concept.pdf,8.0x10.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No plant identification for consumption allergy or safety advice,Test a non-specimen collecting kit with clearly sourced materials
