id,imprint,wave,order,title,subtitle,author,series,trim,pages,paper,cats,keywords,price,interior_file,cover_file,images,copy,bn,digital,hc,rank,notes
QM-12,Quiet Mind Press,1,1,The Dopamine Menu: An ADHD Journal for Ordering Your Stimulation,"Five Courses and a Daily Order Ticket, 150 Pages",Quiet Mind Press,Quiet Mind Journals,"6"" × 9""",150,cream,Self-Help / Journaling | Self-Help / Personal Growth,"['dopamine menu journal', 'adhd journal for adults', 'dopamine menu template book', 'executive function journal', 'neurodivergent daily journal', 'adhd stimulation tracker', 'adhd motivation notebook']",$9.99,release4/dopamine/dopamine_interior.pdf,release4/dopamine/dopamine_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release4/dopamine/metadata.txt,LIST,$4.99,LIST,53,$4.99 large-pool attractor
QM-14,Quiet Mind Press,1,2,The 75 Soft Journal,A Gentler 75-Day Challenge Tracker with a Day 76 Page,Quiet Mind Press,Quiet Mind Journals,"6"" × 9""",96,cream,Health / Fitness | Self-Help / Journaling,"['75 soft journal', '75 day gentle challenge', '75 soft tracker undated', 'gentle habit challenge book', 'kind fitness journal', '75 day wellness tracker', 'soft challenge workbook']",$9.99,release4/soft/soft_interior.pdf,release4/soft/soft_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release4/soft/metadata.txt,HOLD,$4.99,LIST,45,"$4.99 large-pool attractor; BN HOLD (<120pp) — kit on disk, do not upload"
QM-11,Quiet Mind Press,1,3,The Middle Season: Perimenopause Symptom Tracker & Journal,"Hot Flashes, Sleep, Brain Fog and Clinic Notes, Undated",Quiet Mind Press,Quiet Mind Journals,"6"" × 9""",160,white,Health / Women's Health | Self-Help / Journaling,"['perimenopause journal', 'perimenopause symptom tracker', 'hot flash log book', 'night sweats tracker', 'midlife hormone journal', 'brain fog journal women', 'menopause transition notebook']",$9.99,release4/middle/middle_interior.pdf,release4/middle/middle_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release4/middle/metadata.txt,LIST,print-only,LIST,54,no digital (print-only flagship lane)
QM-15,Quiet Mind Press,1,4,Cozy Corners: Cozy Spaces Coloring Book for Adults,"49 Cozy Spaces: Reading Nooks, Rainy Windows and Hygge Rooms",Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",104,white,Crafts / Coloring Books | Self-Help / Stress Management,"['cozy coloring book adults', 'cozy spaces coloring', 'hygge coloring book', 'reading nook coloring pages', 'cottagecore interiors coloring', 'fireplace coloring book', 'aesthetic cozy coloring']",$9.99,release4/cozy/cozy_interior.pdf,release4/cozy/cozy_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release4/cozy/metadata.txt,HOLD,$4.99,HOLD,44,"$4.99 large-pool attractor; no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-01,Quiet Mind Press,2,99,The 5-Minute Dump: Micro-Journal for People Who Hate Journaling,"200 Pages of Rotating Five-Minute Prompts, Undated",Quiet Mind Press,Quiet Mind Journals,"5.5"" × 8.5""",200,cream,Self-Help / Journaling | Self-Help / Anxieties & Phobias,"['5 minute journal', 'adhd brain dump notebook', 'micro journal for beginners', 'low effort journaling', 'brain dump journal undated', 'journal for people who hate journaling', 'tiny prompts journal']",$9.99,release3/dump/dump_interior.pdf,release3/dump/dump_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release3/dump/metadata.txt,LIST,$4.99,LIST,42,$4.99 large-pool attractor; no Blurb (trim not offered)
QM-02,Quiet Mind Press,2,99,Parallel Lives: A Split-Page Therapy Journal,160 Pages of Side-by-Side Prompts: What Happened and How It Felt,Quiet Mind Press,Quiet Mind Journals,"7"" × 10""",160,cream,Self-Help / Journaling | Self-Help / Personal Growth,"['side by side journal', 'dual column therapy journal', 'cbt journal for adults', 'split page journal', 'overthinking journal prompts', 'two perspective notebook', 'self awareness journal']",$9.99,release3/parallel/parallel_interior.pdf,release3/parallel/parallel_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release3/parallel/metadata.txt,LIST,$6.99,LIST,25,no Blurb (trim not offered)
QM-03,Quiet Mind Press,2,99,The Night Pages: An Insomnia Journal for 3 A.M.,A 5 by 8 Pocket Nightstand Journal for Racing Thoughts,Quiet Mind Press,Quiet Mind Journals,"5"" × 8""",120,cream,Self-Help / Journaling | Self-Help / Anxieties & Phobias,"['insomnia journal undated', '3am journal', ""can't sleep notebook"", 'racing thoughts journal', 'bedside pocket journal', 'night anxiety writing', 'worry dump journal']",$9.99,release3/night/night_interior.pdf,release3/night/night_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release3/night/metadata.txt,LIST,$6.99,NONE,32,no hardcover (5x8 not a KDP HC trim)
QM-04,Quiet Mind Press,2,99,First Strokes: Easy Coloring Book for Adult Beginners,37 Super Simple Designs with 3 to 5 Large Shapes per Page,Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",100,white,Crafts / Coloring Books | Self-Help / Stress Management,"['easy coloring book for adults', 'large print coloring book for seniors', 'thick lines coloring book', 'simple coloring book for seniors', 'beginner coloring book adults', 'large shapes coloring', 'marker friendly coloring book']",$9.99,release3/firststroke/firststroke_interior.pdf,release3/firststroke/firststroke_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release3/firststroke/metadata.txt,HOLD,$6.99,HOLD,13,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-05,Quiet Mind Press,2,99,Easy Garden: Bold and Easy Flower Coloring Book for Adults,47 Big and Simple Designs with Thick Lines,Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",100,white,Crafts / Coloring Books | Crafts / Nature,"['bold and easy coloring book for adults', 'flower coloring book large print', 'thick line coloring book for adults', 'simple garden coloring book', 'flower coloring book for adults', 'beginner flower coloring book', 'garden coloring book for adults']",$9.99,release3/garden/garden_interior.pdf,release3/garden/garden_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release3/garden/metadata.txt,HOLD,$6.99,HOLD,8,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-06,Quiet Mind Press,2,99,Mosaic Mind: Geometric Coloring Book for Adults,"57 Stained-Glass Mosaics, Tessellations and Islamic Stars",Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",120,white,Crafts / Coloring Books | Crafts / Mandalas & Patterns,"['mosaic coloring book for adults', 'stained glass coloring book', 'geometric coloring book adults', 'tessellation coloring book', 'islamic star coloring book', 'celtic knot coloring', 'geometric coloring book for men']",$9.99,release3/mosaic/mosaic_interior.pdf,release3/mosaic/mosaic_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release3/mosaic/metadata.txt,LIST,$6.99,HOLD,15,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
QM-07,Quiet Mind Press,2,99,Woodland Wonders: Forest Animals Coloring Book for Adults,"57 Cottagecore Designs: Owls, Foxes, Mushrooms and Ferns",Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",120,white,Crafts / Coloring Books | Crafts / Animals,"['woodland animals coloring book', 'forest coloring book adults', 'cottagecore coloring forest', 'mushroom coloring book adults', 'cottagecore coloring book', 'nature scenes coloring book', 'wildlife coloring book adults']",$9.99,release3/woodland/woodland_interior.pdf,release3/woodland/woodland_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release3/woodland/metadata.txt,LIST,$6.99,HOLD,38,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
QM-08,Quiet Mind Press,2,99,Fractal Dreams: Advanced Mathematical Coloring Book,"67 Real Fractals: Sierpinski, Julia Sets and Golden Spirals",Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",140,white,Crafts / Coloring Books | Crafts / Mandalas & Patterns,"['fractal coloring book adults', 'real mathematics coloring', 'sacred geometry coloring book', 'advanced intricate coloring', 'sierpinski coloring pages', 'complex pattern coloring book', 'math coloring book for adults']",$9.99,release3/fractal/fractal_interior.pdf,release3/fractal/fractal_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release3/fractal/metadata.txt,LIST,$6.99,HOLD,24,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
QM-09,Quiet Mind Press,2,99,Architectural Visions: Cathedral and Cityscape Coloring Book for Adults,"67 Intricate Cathedrals, Cityscapes and Rose Windows",Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",140,white,Crafts / Coloring Books | Crafts / Architecture,"['architecture coloring book for adults', 'cathedral coloring book', 'gothic coloring book for adults', 'cityscape coloring book for adults', 'travel coloring book for adults', 'stained glass windows coloring', 'building coloring book for adults']",$9.99,release3/architect/architect_interior.pdf,release3/architect/architect_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release3/architect/metadata.txt,LIST,$6.99,HOLD,22,"no Blurb (trim not offered); HC HOLD (coloring) — kit on disk, do not upload"
QM-10,Quiet Mind Press,2,99,Settle: A Somatic Journal for a Wired Nervous System,"Daily Body Tracking with No Protocol and No Streaks, Undated",Quiet Mind Press,Quiet Mind Journals,"6"" × 9""",172,cream,Self-Help / Journaling | Self-Help / Stress Management,"['somatic journal undated', 'grounding journal for anxiety', 'nervous system journal', 'body scan notebook', 'settle journal', 'trauma informed journal', 'regulation tracking journal']",$9.99,release4/settle/settle_interior.pdf,release4/settle/settle_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release4/settle/metadata.txt,LIST,$4.99,LIST,51,$4.99 large-pool attractor
