id,imprint,n,title,subtitle,pages,trim,paper,series,difficulty,kdp_price,kdp_kit_files,bn_status,bn_price,hc_status,hc_price,blurb_price,digital_price,digital_status,lulu_global,lulu_store,ingram,i18n,glp1,wave,ads,rank,release_dir,folder,notes
RB-01,Range Band Press,1,GLP-1 Meal & Satiety Journal,"Undated 8-Week Protein, Fiber & Hunger Tracker (Two-Page Daily Spreads)",131,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W1,True,52,,01_GLP1_Meal_and_Satiety,
RB-02,Range Band Press,2,GLP-1 Side Effect Tracker,Weekly Symptom Log with Severity Grids & Clinic Visit Prep Pages,92,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,11,,02_GLP1_Side_Effect_Diary,
RB-03,Range Band Press,3,GLP-1 Plateau Breaker 30-Day Challenge Planner,"Daily Habit Grid, Mindset Prompts & Encore Cycle (Undated)",107,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W3,False,29,,03_GLP1_Plateau_Breaker,Empty QR box
RB-04,Range Band Press,4,GLP-1 Maintenance Phase Tracker,"12-Month Range Band, Refill Log & Relapse-Risk Journal",85,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W4,False,4,,04_GLP1_Maintenance,
RB-05,Range Band Press,5,GLP-1 Hunger & Craving Mood Log,"90-Day Four-Quadrant Tracker for Mood, Intensity & What I Did Instead",113,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W1,True,39,,05_GLP1_Hunger_Craving,
RB-06,Range Band Press,6,GLP-1 Fitness & Step Companion,"32-Week Strength, Cardio & Recovery Log (Undated)",85,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W3,False,5,,06_GLP1_Fitness,
RB-07,Range Band Press,7,GLP-1 Titration Log (Pocket 5x8),Weekly Dose-as-Prescribed Notebook with Pen & Refill Reminders,78,5×8,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,6,,07_GLP1_Titration_Pocket,; spine OFF (78pp<79)
RB-08,Range Band Press,8,Non-Scale Victories Gratitude Journal,"120-Day GLP-1 Progress Log for Energy, Clothing Fit & Labs",131,6×9,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,34,,08_GLP1_NSV_Gratitude,
RB-09,Range Band Press,9,GLP-1 Injection Sticker Calendar,Undated 12-Month 8.5 x 11 Log with Site Map & Refill Pages,98,8.5×11,white,GLP-1 TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W1,True,43,,09_GLP1_Injection_Calendar,Empty QR box
RB-10,Range Band Press,10,Sober Curious 90-Day Journal,"Gender-Neutral Trigger, Craving & Gratitude Tracker (Not 12-Step)",113,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W1,True,35,,10_Sobriety_90,
RB-11,Range Band Press,11,Intermittent Fasting Window Tracker,12-Week 16:8 / Custom Fast Log with 24-Hour Timeline Bars,107,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W3,False,26,,11_IF_Window_Tracker,
RB-12,Range Band Press,12,Migraine Weather & Trigger Diary,"Pain Map, Aura Checklist, Barometric Pressure Log & Monthly Dashboard",97,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W1,True,40,,12_Migraine_Weather,
RB-13,Range Band Press,13,ADHD Medication & Focus Log,"90-Day Dose Tracker, Pomodoro Focus Boxes & Dopamine Stamp Pages",113,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,17,,13_ADHD_Focus_Log,
