sku,canonical_title,release_wave,publication_status,edition,language_scope,channel,delivery_format,planned_list_price_usd,price_posture,channel_floor_or_dependency,operational_state
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,English paperback,en,Amazon KDP paperback,Paperback POD,$16.99,Canonical US Wave 1 anchor; listing still HOLD,US anchor only; set and verify each marketplace local price in the live KDP pricing page,CURRENT PRICE ANCHOR / HOLD
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,Bilingual paperback,en + approved target language,Amazon KDP paperback,Paperback POD,$19.99,Proposed bilingual starting point; final page-count/cost calculation controls,"Starting point; final count, print cost, each marketplace minimum, proof, and translation QA must pass",PLANNING ONLY
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,English paperback,en,Barnes & Noble Press,Paperback POD,$16.99,Canonical US Wave 1 anchor; listing still HOLD,Must be at least the current B&N print minimum; use B&N-specific cover template and proof,PLANNING ONLY
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,Bilingual paperback,en + approved target language,Barnes & Noble Press,Paperback POD,$19.99,Proposed bilingual starting point; final page-count/cost calculation controls,"Must be at least the current B&N print minimum; separate final file, cover, proof, and rights review",PLANNING ONLY
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,English paperback,en,Lulu Bookstore,Paperback POD,$16.99,Canonical US Wave 1 anchor; listing still HOLD,Use only if live Lulu print cost permits the anchor; independently confirm current calculator,PLANNING ONLY
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,Bilingual paperback,en + approved target language,Lulu Bookstore,Paperback POD,$19.99,Proposed bilingual starting point; final page-count/cost calculation controls,Use final bilingual page count and Lulu calculator; no auto-upload,PLANNING ONLY
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,English paperback,en,Lulu Global Distribution,Paperback POD / distribution,$16.99,Proposed only; live distributor price floor and no-duplicate rule control,Price must cover current Lulu Global minimum; do not create a duplicate Amazon/B&N/Ingram listing,PARKED — CHANNEL CONFLICT REVIEW
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,Bilingual paperback,en + approved target language,Lulu Global Distribution,Paperback POD / distribution,$19.99,Proposed bilingual starting point; final page-count/cost calculation controls,Price must cover current Lulu Global minimum after final page count; do not create duplicate retail listings,PARKED — CHANNEL CONFLICT REVIEW
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,English paperback,en,IngramSpark,Paperback POD / distribution,$16.99,Proposed only; live distributor price floor and no-duplicate rule control,"Requires a publisher-owned ISBN, wholesale/returns decision, current print quote, and no duplicate distributor path",PARKED — ISBN / DISTRIBUTION REVIEW
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,Bilingual paperback,en + approved target language,IngramSpark,Paperback POD / distribution,$19.99,Proposed bilingual starting point; final page-count/cost calculation controls,"Requires a separate ISBN, final bilingual pagination, wholesale/returns decision, print quote, and no duplicate distributor path",PARKED — ISBN / DISTRIBUTION REVIEW
