candidate_id,working_title,subtitle_concept,primary_niche,core_job,primary_format,route_recommendation,differentiation,claims_boundary,seasonality,first_test,production_status
E01,The Reading Room Ledger,A commonplacing and book-club record for readers who keep what they learn,analog reading and collecting,Capture ideas and connections from books without becoming a generic reading log,7x9 guided paperback,Paperback candidate plus optional direct printable reading-card insert,Quote response maps discussion cards and themed commonplace spreads,No educational achievement or therapeutic outcome claims,Evergreen with Q4 gifting,Test three sample spreads and a reading-club edition concept,CANDIDATE — not in portfolio; no production or sale authorization
E02,Postcard to Later,A field journal for short trips local weekends and remembered details,travel memory keeping,Turn a trip into a usable memory artifact rather than an itinerary,5x8 lay-flat field journal,Paperback candidate plus premium travel folio later,Location sketch prompts ticket-pocket map and return-later letter,No travel safety or legal advice,Spring through summer and gifting,Test a weekend-trip printable sample with two destination-neutral routes,CANDIDATE — not in portfolio; no production or sale authorization
E03,The Recipe Storybook,Write down the meals people ask for and the stories that belong with them,family food memory,Capture family recipes and context in one heirloom-format book,8x10 guided hardcover concept,Direct physical heirloom object first; paperback only as a distinct edition,Recipe interview prompts provenance pages and contributor index,No nutrition food-safety or dietary claims,Q4 gifting plus family occasions,Test a 12-page keepsake sample with gift buyers,CANDIDATE — not in portfolio; no production or sale authorization
E04,The Little Museum at Home,A collector’s catalog for the objects worth displaying and remembering,home collecting and decor,Document a personal collection and plan a small display,8x8 guided catalog paperback,Paperback candidate plus premium slipcase/label kit later,Collection stories display layouts object-origin cards and rotation planner,No valuation appraisal or authenticity advice,Evergreen with home-refresh peaks,Test collector-category variants without reusing the same interior,CANDIDATE — not in portfolio; no production or sale authorization
E05,Camera Roll to Keepsake,A year of photo stories captions and printed-memory prompts,photo memory keeping,Select and narrate meaningful photographs before they disappear in a phone archive,8x10 photo-story workbook,Paperback candidate plus direct printable photo-layout pack,Monthly photo selection framework caption prompts and print checklist,No cloud backup privacy or data-recovery claims,Q4 gifting and year-end reflection,Test a 30-day photo-story email-free printable sample,CANDIDATE — not in portfolio; no production or sale authorization
E06,Notes Worth Keeping,A correspondence book for handwritten notes ordinary thanks and future messages,letter writing and gifting,Make letter writing a recurring practical ritual,6x8 guided correspondence journal,Paperback candidate plus stationery-kit object later,Recipient map occasion prompts and copy-before-send archive pages,No relationship counseling or emotional-outcome claims,Q4 gifting Valentine’s and graduation,Test a small card-and-note insert set,CANDIDATE — not in portfolio; no production or sale authorization
E07,One Shelf at a Time,A room-by-room reset book for manageable home organization,small-space home organization,Plan a focused reset without an all-house overhaul,8x10 illustrated workbook,Paperback candidate plus direct printable room-reset pack,One-surface inventory decision tree donation handoff and before-after record,No health hygiene or professional-organizing guarantees,January and spring reset,Test kitchen closet and entryway mini-editions,CANDIDATE — not in portfolio; no production or sale authorization
E08,The Tiny Kitchen Notebook,Menus pantry cues and useful repeats for a smaller kitchen,small-kitchen living,Plan home cooking routines around a compact space,7x9 guided workbook,Paperback candidate plus magnetic/fridge pad later,Pantry-zone map repeat-meal library and guest-with-little-space planner,No nutrition food-safety or dietary advice,Evergreen with housewarming,Test compact-kitchen audience demand and usability,CANDIDATE — not in portfolio; no production or sale authorization
E09,The Apartment Garden Almanac,A season-by-season fieldbook for windowsills balconies and small plots,small-space gardening,Record experiments and plan attainable growing spaces,8x10 illustrated fieldbook,Paperback candidate plus direct printable seasonal inserts,Container-specific planning weather observation pages and harvest-memory prompts,No pesticide horticultural or food-safety advice,Spring through summer,Test balcony windowsill and renter-friendly sample routes,CANDIDATE — not in portfolio; no production or sale authorization
E10,The Home Rhythm Book,Seasonal checklists for keeping a lived-in home moving,household routines,Coordinate ordinary maintenance and seasonal rituals without household perfectionism,8x10 guided planner,Paperback candidate plus tear-pad calendar later,Seasonal zones shared-task conversation prompts and completed-not-perfect log,No repair safety legal landlord or contractor advice,January spring and fall resets,Test seasonal one-month printable pages,CANDIDATE — not in portfolio; no production or sale authorization
