n,title,pages,trim,KDP,BN,LULU-STORE,LULU-GLOBAL,DIGITAL,INGRAM
01,GLP-1 Meal & Satiety Journal,131,6x9,9.99,14.99,9.99,9.99,9.99,9.99
02,GLP-1 Side Effect Tracker,92,6x9,9.99,14.99,9.99,9.99,9.99,9.99
03,GLP-1 Plateau Breaker 30-Day Challenge Planner,107,6x9,9.99,14.99,9.99,9.99,9.99,9.99
04,GLP-1 Maintenance Phase Tracker,85,6x9,9.99,14.99,9.99,9.99,9.99,9.99
05,GLP-1 Hunger & Craving Mood Log,113,6x9,9.99,14.99,9.99,9.99,9.99,9.99
06,GLP-1 Fitness & Step Companion,85,6x9,9.99,14.99,9.99,9.99,9.99,9.99
07,GLP-1 Titration Log (Pocket 5x8),78,5x8,9.99,14.99,9.99,9.99,9.99,9.99
08,Non-Scale Victories Gratitude Journal,131,6x9,9.99,14.99,9.99,9.99,9.99,9.99
09,GLP-1 Injection Sticker Calendar,98,8.5x11,9.99,14.99,9.99,9.99,9.99,9.99
10,Sober Curious 90-Day Journal,113,6x9,9.99,14.99,9.99,9.99,9.99,9.99
11,Intermittent Fasting Window Tracker,107,6x9,9.99,14.99,9.99,9.99,9.99,9.99
12,Migraine Weather & Trigger Diary,97,6x9,9.99,14.99,9.99,9.99,9.99,9.99
13,ADHD Medication & Focus Log,113,6x9,9.99,14.99,9.99,9.99,9.99,9.99
14,Perimenopause Symptom & Mood Chart,107,6x9,9.99,14.99,9.99,9.99,9.99,9.99
15,Low FODMAP Food & Symptom Diary,88,6x9,9.99,14.99,9.99,9.99,9.99,9.99
16,Digital Detox 30-Day Screen Time Workbook,96,6x9,9.99,14.99,9.99,9.99,9.99,9.99
17,Postpartum Recovery Planner,102,6x9,9.99,14.99,9.99,9.99,9.99,9.99
18,Autoimmune Flare & Energy Journal,113,6x9,9.99,14.99,9.99,9.99,9.99,9.99
19,GLP-1 High-Protein Grocery & Meal Prep Planner,136,6x9,9.99,14.99,9.99,9.99,9.99,9.99
20,"GLP-1 Restaurant, Travel & Social Event Log",85,6x9,9.99,14.99,9.99,9.99,9.99,9.99
21,"GLP-1 Measurements, Photos & Lab Archive",85,6x9,9.99,14.99,9.99,9.99,9.99,9.99
22,"GLP-1 Sleep, Bowel & Hydration Companion",110,6x9,9.99,14.99,9.99,9.99,9.99,9.99
23,GLP-1 Body Image & Mindset Journal,110,6x9,9.99,14.99,9.99,9.99,9.99,9.99
24,GLP-1 Weekly Review & Clinic Brief Binder,115,6x9,9.99,14.99,9.99,9.99,9.99,9.99
25,GLP-1 Shot Day 0-48 Hour Pocket Log,79,5x8,9.99,14.99,9.99,9.99,9.99,9.99
26,GLP-1 Protein Kitchen Recipe & Leftover Log,98,6x9,9.99,14.99,9.99,9.99,9.99,9.99
27,GLP-1 Five-Minute Morning Pages,130,6x9,9.99,14.99,9.99,9.99,9.99,9.99
28,Anxiety & Panic Sensation Log,110,6x9,9.99,14.99,9.99,9.99,9.99,9.99
29,Sleep Window & Wind-Down Diary,104,6x9,9.99,14.99,9.99,9.99,9.99,9.99
30,PMDD & Cycle Mood Chart,188,6x9,9.99,14.99,9.99,11.99,9.99,9.99
31,Glucose & Meal Timing Log,110,6x9,9.99,14.99,9.99,9.99,9.99,9.99
32,Chronic Pain Body Map & Flare Diary,92,6x9,9.99,14.99,9.99,9.99,9.99,9.99
33,Grief & Loss 90-Day Journal,117,6x9,9.99,14.99,9.99,9.99,9.99,9.99
34,12-Week Habit Operating System,117,6x9,9.99,14.99,9.99,9.99,9.99,9.99
35,Burnout & Energy Budget Journal,104,6x9,9.99,14.99,9.99,9.99,9.99,9.99
36,Bladder & Pelvic Symptom Diary,88,6x9,9.99,14.99,9.99,9.99,9.99,9.99
