sku,canonical_title,release_wave,publication_status,source_role,source_path,source_sha256,target_languages,translation_state
A01,Dose & Breathe: A Mindful Weekly GLP-1 Companion,Wave 1,HOLD — awaiting release gates,English book-format interior PDF,release/A01-dose-and-breathe/interior.pdf,f6cdc285c9328a83fd90d57c489b38d97afd3d81072efa9f59db5f02c5ba099f,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
A02,Color Your Way Forward: A Mindful GLP-1 Coloring Workbook,Wave 2,HOLD,English book-format interior PDF,release/A02-color-your-way-forward/interior.pdf,0d4e148bfbacb428ecafd3edb1f9b24de87d6d726860195f435fbbbb2f110d13,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
A03,The Scent of a Steady Year: An Undated GLP-1 Ritual Calendar,Vault,NOT A KDP PRODUCT — DO NOT PUBLISH,calendar product brief — not a KDP manuscript,non-kdp/A03-scent-of-a-steady-year/PRODUCT_BRIEF.md,f54a03098bad446cd8f2adeec3f356e3924396d77de1d5b7585e1eb84f6e4110,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
A04,Softer Words: A Gratitude & Self-Talk Diary,Wave 1,HOLD — awaiting release gates,English book-format interior PDF,release/A04-softer-words/interior.pdf,d10608d021fa4d7976248708ed5191bd8739fc682eefbae44250c5c5ae46156d,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
A05,Night Harbor: An Evening Wind-Down & Sleep Reflection Companion,Wave 1,HOLD — awaiting release gates,English book-format interior PDF,release/A05-night-harbor/interior.pdf,1e6f9d27c1e981cfbe948b86b458aa6da66a1f2b18c730570586a0d96f967b2a,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
A06,Stillness & Stretch: A Gentle Movement Reflection Companion,Wave 2,HOLD — review-heavy,English book-format interior PDF,release/A06-stillness-and-stretch/interior.pdf,a6de499aba89de748ac7b06757fa595b5905f20f1d3fc2ae5f228bb46e1a543b,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
A07,Steady Signal: A Calm-Check & Optional Pulse Observation Journal,Wave 2,HOLD — review-heavy,English book-format interior PDF,release/A07-steady-signal/interior.pdf,cb9097197984fb213a4db1821096f88b101ae7fecfeedae90cbce41672918075,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
A08,The Unhurried Year: An Undated Executive Wellness Planner,Wave 2,HOLD — waitlist-first,English book-format interior PDF,release/A08-unhurried-year/interior.pdf,4a3af7031f4dc1f78b1979abf85241788787ed83e669eb34d2c24c53fd39a703,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
A09,Pocket of Calm: A Guided Journaling Companion,Vault,DO NOT PUBLISH TO KDP,English book-format reference interior PDF — not the actual product object,release/A09-pocket-of-calm-companion/interior.pdf,e7972db1568a3fd5338ee8a36a41268942c08a8154947e5642f36edbcb447642,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
B10,Rest & Regulate: A 90-Day Breath-Paced Planner,Wave 1,HOLD — awaiting release gates,English book-format interior PDF,release/B10-rest-and-regulate/interior.pdf,46a34c187b1eed70355fe57db5f9a8bf7264bd9aab36bd6cf4d5f70c186a5468,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
B11,Under the Covers: A Weighted-Blanket Sleep & Stress Diary,Wave 2,HOLD — review-heavy,English book-format interior PDF,release/B11-under-the-covers/interior.pdf,c94a62db21b19c407f7e0e068c14f109d4bb6614cd842eb86236db71f0eba501,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
B12,Back to Enough: A Compassionate Productivity Rescue Workbook,Wave 1,HOLD — awaiting release gates,English book-format interior PDF,release/B12-back-to-enough/interior.pdf,5dc3a0ed88293c20c00bd530b651687156abd6171ebf6ef9cbc7c79a4643cbf4,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
B13,The Breathwork Integration Book: A Session Reflection Log,Wave 2,HOLD — review-heavy,English book-format interior PDF,release/B13-breathwork-integration/interior.pdf,7ad043e58138b6ace6eaf1f2ec6259f423c43066275fd63268d146d0a86fda79,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
B14,Among the Trees: A Forest-Bathing Photo Reflection Journal,Wave 2,HOLD,English book-format interior PDF,release/B14-among-the-trees/interior.pdf,4eb91e5ce9974e3bb115cfa1d180ac349574101ab1e6108c0b03b65ea0bada93,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
B15,Color & Check In: A Mandala Coloring & Mood Diary,Wave 2,HOLD,English book-format interior PDF,release/B15-color-and-check-in/interior.pdf,a0587e6e19a2904066e0c8299096c75612043094b24092fd58d9f84246be2134,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
B16,"Us, In Balance: A Couples’ Pause & Repair Workbook",Wave 2,HOLD — review-heavy,English book-format interior PDF,release/B16-us-in-balance/interior.pdf,4daef91bd86ebb64be18f1cd0c161220dcb1be247658fb094bb0b0c019ec7d68,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
B17,One Minute at My Desk: A Micro-Meditation & Reflection Book,Vault,DO NOT PUBLISH TO KDP,English book-format reference interior PDF — not the actual product object,release/B17-one-minute-at-my-desk/interior.pdf,b5a17929eefd107e11b4d3fd11bfd3313748ed6edcb7514ffef850c95f71c3e1,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
B18,"Enough Money, Enough Calm: A Financial-Anxiety Mindset Workbook",Wave 1,HOLD — awaiting release gates,English book-format interior PDF,release/B18-enough-money-enough-calm/interior.pdf,d22395dfd9e47d7e0c905e5f3f1501ef8042fa22dd96f85263352024ba47ad04,Spanish|French|Hindi|Simplified Chinese|Hausa|Yorùbá,NOT STARTED — no translation text or release authorization
